iter	MultiClass
0	1.292026067
1	1.216654686
2	1.153000688
3	1.10040552
4	1.043869189
5	1.00059204
6	0.9587446599
7	0.92368483
8	0.8938775907
9	0.8659195368
10	0.8381993402
11	0.8108983894
12	0.7887684621
13	0.7680160565
14	0.7493698036
15	0.730063999
16	0.7142547847
17	0.7003258756
18	0.6865336851
19	0.6736022294
20	0.6620327644
21	0.6516285987
22	0.6427072357
23	0.6334735419
24	0.6225164268
25	0.6145164392
26	0.6060402613
27	0.5981776818
28	0.590355518
29	0.5829966737
30	0.5759952623
31	0.5699916685
32	0.5642097496
33	0.5597436446
34	0.5532348564
35	0.5486157303
36	0.5439984937
37	0.5379573524
38	0.5337858053
39	0.5309159373
40	0.5260119904
41	0.522519215
42	0.5183450886
43	0.5146523139
44	0.5111341267
45	0.5067619432
46	0.502067726
47	0.4995817573
48	0.4955051311
49	0.4923442348
50	0.4890752736
51	0.4861983922
52	0.4839898886
53	0.4811530586
54	0.4788624
55	0.4759282781
56	0.4734072764
57	0.4696421475
58	0.4677876195
59	0.4656114139
60	0.4624797789
61	0.459731555
62	0.4572408679
63	0.4547776733
64	0.452712886
65	0.4497905539
66	0.4468799428
67	0.4447844003
68	0.4420954043
69	0.4401782404
70	0.4385963184
71	0.4374454916
72	0.4352452635
73	0.4326409718
74	0.4307671224
75	0.4283499124
76	0.4255531497
77	0.422947372
78	0.4210300757
79	0.4195961573
80	0.4181113394
81	0.4165394902
82	0.41487143
83	0.4129556605
84	0.4110598861
85	0.4088384635
86	0.4058908809
87	0.4041872537
88	0.4027839664
89	0.4010144823
90	0.3995481966
91	0.3980016853
92	0.396864302
93	0.3948122127
94	0.3930447578
95	0.3911895426
96	0.3893517158
97	0.3874495583
98	0.386311554
99	0.3850413576
100	0.383794047
101	0.3828291621
102	0.3813767549
103	0.3796596602
104	0.3779040814
105	0.3761204154
106	0.37448063
107	0.3725450183
108	0.3703436205
109	0.3686378311
110	0.3673450463
111	0.3656658926
112	0.3644881075
113	0.3626761175
114	0.3613134013
115	0.3595793661
116	0.3580477713
117	0.3572574074
118	0.3554424272
119	0.3542240276
120	0.3534780533
121	0.352126793
122	0.3512893199
123	0.3503843553
124	0.3493309368
125	0.3477821142
126	0.3464984244
127	0.3450935791
128	0.3441445068
129	0.3429125273
130	0.3416666986
131	0.3400878684
132	0.3379739528
133	0.3363849846
134	0.3350566959
135	0.3340563209
136	0.3330785184
137	0.3316076785
138	0.3305416589
139	0.3295989904
140	0.3285293971
141	0.3275715077
142	0.3266316445
143	0.3258157869
144	0.3248070458
145	0.3232888664
146	0.3228499342
147	0.3214761879
148	0.320406479
149	0.3193094712
150	0.3185140174
151	0.3175209351
152	0.3160987143
153	0.314984413
154	0.3139191352
155	0.313082543
156	0.3122866694
157	0.3111102923
158	0.3103053561
159	0.3097060076
160	0.3091845189
161	0.3085015425
162	0.3078712531
163	0.3067552889
164	0.3058289261
165	0.3046919477
166	0.3036723468
167	0.3031148514
168	0.3020625266
169	0.3010582209
170	0.3000085762
171	0.2988561192
172	0.2979336718
173	0.2967899643
174	0.2963401297
175	0.2953253085
176	0.2944190182
177	0.2935258928
178	0.2928306625
179	0.2921129695
180	0.2911042741
181	0.2906208369
182	0.2901038623
183	0.2894829484
184	0.2884361978
185	0.2876998741
186	0.2868609011
187	0.2859113956
188	0.285511472
189	0.2849735539
190	0.2840100363
191	0.2831527931
192	0.2828978202
193	0.2814156097
194	0.2805314378
195	0.2794701582
196	0.2781127076
197	0.2773833346
198	0.276355193
199	0.2757907391
200	0.2746913835
201	0.2742169661
202	0.2736162404
203	0.2727255093
204	0.2717340722
205	0.2709150603
206	0.2701630423
207	0.2696930555
208	0.2682369297
209	0.267326598
210	0.2668130482
211	0.2664999269
212	0.2661245776
213	0.2655752369
214	0.2651657591
215	0.2641938313
216	0.2633940108
217	0.2628652626
218	0.261844098
219	0.261254536
220	0.2605583184
221	0.2595078107
222	0.2588792044
223	0.258285499
224	0.2575549979
225	0.2565509518
226	0.2556237011
227	0.2551260707
228	0.2547837334
229	0.2543733625
230	0.2536286269
231	0.252776194
232	0.2521881298
233	0.251461539
234	0.2509304654
235	0.2502807051
236	0.2496805156
237	0.2487057523
238	0.2482154603
239	0.2476187305
240	0.2468129585
241	0.2462791596
242	0.2453500688
243	0.2449532198
244	0.2443583332
245	0.2433173741
