iter	Passed	Remaining
0	231	230989
1	268	134206
2	305	101542
3	343	85444
4	382	76030
5	424	70314
6	467	66287
7	503	62407
8	540	59530
9	578	57301
10	615	55352
11	654	53849
12	692	52596
13	729	51378
14	766	50311
15	802	49360
16	839	48540
17	879	47967
18	917	47382
19	956	46876
20	993	46329
21	1033	45924
22	1069	45441
23	1108	45076
24	1147	44755
25	1184	44362
26	1220	43982
27	1260	43745
28	1302	43624
29	1342	43415
30	1380	43153
31	1418	42915
32	1458	42730
33	1497	42548
34	1538	42418
35	1577	42243
36	1614	42011
37	1651	41820
38	1688	41612
39	1725	41407
40	1764	41280
41	1804	41150
42	1840	40964
43	1877	40802
44	1915	40641
45	1951	40474
46	1990	40367
47	2027	40208
48	2064	40058
49	2100	39911
50	2139	39804
51	2177	39703
52	2215	39595
53	2252	39466
54	2290	39348
55	2327	39235
56	2364	39110
57	2403	39030
58	2441	38936
59	2478	38824
60	2515	38718
61	2553	38630
62	2591	38550
63	2628	38447
64	2667	38375
65	2705	38279
66	2742	38196
67	2779	38100
68	2817	38015
69	2858	37972
70	2895	37879
71	2930	37772
72	2968	37697
73	3007	37631
74	3044	37544
75	3082	37479
76	3120	37404
77	3157	37319
78	3194	37246
79	3232	37178
80	3270	37105
81	3308	37039
82	3347	36986
83	3384	36906
84	3423	36853
85	3459	36770
86	3496	36693
87	3532	36614
88	3573	36574
89	3609	36499
90	3646	36425
91	3682	36347
92	3720	36280
93	3760	36249
94	3799	36195
95	3836	36127
96	3872	36050
97	3908	35974
98	3946	35921
99	3984	35861
100	4022	35803
101	4058	35732
102	4094	35660
103	4132	35601
104	4175	35591
105	4213	35535
106	4251	35481
107	4289	35424
108	4327	35371
109	4363	35302
110	4402	35261
111	4440	35208
112	4476	35141
113	4514	35082
114	4551	35026
115	4587	34962
116	4625	34907
117	4665	34870
118	4701	34808
119	4738	34745
120	4775	34689
121	4811	34628
122	4849	34580
123	4886	34521
124	4923	34462
125	4960	34405
126	4996	34342
127	5034	34296
128	5073	34252
129	5111	34205
130	5149	34158
131	5185	34099
132	5221	34040
133	5259	33988
134	5299	33956
135	5336	33902
136	5371	33839
137	5410	33797
138	5447	33742
139	5484	33690
140	5523	33653
141	5562	33608
142	5599	33557
143	5636	33503
144	5672	33448
145	5709	33396
146	5746	33345
147	5785	33305
148	5821	33248
149	5858	33197
150	5900	33177
151	5946	33173
152	5992	33175
153	6033	33147
154	6076	33128
155	6119	33108
156	6165	33106
157	6209	33089
158	6249	33053
159	6288	33013
160	6326	32967
161	6365	32929
162	6407	32902
163	6447	32866
164	6486	32826
165	6524	32777
166	6562	32732
167	6601	32690
168	6638	32642
169	6675	32591
170	6712	32539
171	6751	32500
172	6791	32466
173	6834	32446
174	6873	32404
175	6910	32355
176	6949	32311
177	6987	32266
178	7025	32223
179	7068	32200
180	7110	32172
181	7155	32162
182	7198	32137
183	7239	32106
184	7283	32087
185	7328	32071
186	7371	32047
187	7409	32001
188	7448	31963
189	7488	31922
190	7526	31879
191	7566	31840
192	7606	31805
193	7646	31769
194	7685	31728
195	7725	31689
196	7763	31645
197	7800	31595
198	7837	31546
199	7874	31496
200	7914	31459
201	7953	31419
202	7989	31366
203	8026	31320
204	8069	31292
205	8111	31263
206	8164	31277
207	8206	31248
208	8250	31225
209	8298	31218
210	8340	31186
211	8383	31160
212	8426	31132
213	8466	31097
214	8507	31060
215	8545	31015
216	8582	30968
217	8624	30936
218	8664	30899
219	8703	30858
220	8741	30813
221	8781	30773
222	8820	30733
223	8859	30690
224	8895	30640
225	8934	30598
226	8974	30559
227	9013	30518
228	9051	30473
229	9087	30423
230	9123	30371
231	9161	30326
232	9198	30281
233	9240	30247
234	9280	30209
235	9316	30160
236	9354	30116
237	9391	30067
238	9428	30021
239	9471	29993
240	9510	29952
241	9550	29912
242	9589	29872
243	9630	29838
