,nni_counter,nni_mean,nni_min,nni_max,hr_mean,hr_min,hr_max,hr_std,nni_diff_mean,nni_diff_min,nni_diff_max,sdnn,rmssd,sdsd,nn50,pnn50,nn20,pnn20,tinn_n,tinn_m,tinn,tri_index
0,64.0,247.0625,227.0,256.0,243.03576429441992,234.375,264.3171806167401,6.83041025776566,2.4285714285714284,0.0,8.0,6.699620932181211,3.1597669192722084,2.0376637928566366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1,33.0,235.6060606060606,208.0,257.0,255.43301243289594,233.46303501945525,288.46153846153845,14.475257913975975,7.40625,1.0,14.0,12.958924034086014,8.171979564340576,3.5090608522104785,0.0,0.0,0.0,0.0,210.9375,250.0,39.0625,3.0
2,29.0,270.2068965517241,251.0,297.0,222.389287011271,202.02020202020202,239.0438247011952,8.798611397272797,6.714285714285714,0.0,16.0,10.741705472279621,7.9865959135112305,4.404182716103567,0.0,0.0,0.0,0.0,242.1875,289.0625,46.875,3.2222222222222223
3,67.0,124.5223880597015,101.0,229.0,495.8912098981544,262.0087336244541,594.059405940594,72.67695161353558,20.454545454545453,0.0,116.0,25.002035195314285,33.26295600851257,26.43143921584633,9.0,13.636363636363635,20.0,30.303030303030305,93.75,125.0,31.25,2.576923076923077
4,44.0,183.72727272727272,165.0,221.0,328.63083584790434,271.49321266968326,363.6363636363636,25.13859266199055,3.488372093023256,0.0,15.0,15.454906101997661,5.139903175271183,3.8195742284738627,0.0,0.0,0.0,0.0,156.25,187.5,31.25,2.933333333333333
5,23.0,326.4347826086956,172.0,669.0,206.70205555296042,89.68609865470852,348.83720930232556,68.4200822964877,133.54545454545453,4.0,392.0,125.54746515921835,169.0962609123734,106.1673105786232,17.0,77.27272727272727,20.0,90.9090909090909,226.5625,265.625,39.0625,11.5
6,39.0,214.3846153846154,195.0,230.0,280.3914311161729,260.8695652173913,307.6923076923077,12.368255134509862,5.0,0.0,17.0,9.27252700643251,6.419542531659828,4.0802755603817555,0.0,0.0,0.0,0.0,187.5,226.5625,39.0625,3.0
7,42.0,194.52380952380952,122.0,385.0,329.8914988877387,155.84415584415584,491.8032786885246,81.602550854899,59.19512195121951,2.0,184.0,55.89504018104722,75.86750324599122,48.04280357774468,20.0,48.78048780487805,31.0,75.60975609756098,109.375,265.625,156.25,8.4
8,58.0,290.4310344827586,144.0,454.0,225.58133336451854,132.15859030837004,416.6666666666667,75.22224565470268,92.78947368421052,3.0,197.0,79.35156330477093,110.50148843960619,60.539165847439286,41.0,71.9298245614035,47.0,82.45614035087719,250.0,351.5625,101.5625,9.666666666666666
9,9.0,345.44444444444446,326.0,366.0,173.86743543543145,163.9344262295082,184.04907975460122,5.908237194689779,15.75,1.0,32.0,11.727223788168185,19.072231122760652,11.498447100121203,0.0,0.0,3.0,37.5,312.5,359.375,46.875,4.5
10,25.0,307.68,221.0,379.0,199.033933006257,158.31134564643799,271.49321266968326,30.35665143926946,53.708333333333336,0.0,157.0,43.188270012431225,73.68598917026222,51.53342449886006,11.0,45.83333333333333,14.0,58.333333333333336,273.4375,328.125,54.6875,6.25
11,27.0,283.85185185185185,245.0,514.0,221.06265209004056,116.73151750972762,244.89795918367346,36.77819003655143,43.34615384615385,1.0,264.0,77.86808554496989,99.6565255109924,91.51303396028014,4.0,15.384615384615385,4.0,15.384615384615385,234.375,273.4375,39.0625,2.7
12,24.0,323.4166666666667,307.0,341.0,185.65465055877658,175.95307917888562,195.43973941368077,5.136079696392511,4.695652173913044,0.0,10.0,8.904891995373967,5.524648326403661,2.976190099755293,0.0,0.0,0.0,0.0,304.6875,335.9375,31.25,2.1818181818181817
13,36.0,266.22222222222223,245.0,277.0,225.5827157558864,216.60649819494586,244.89795918367346,7.024356782771093,4.685714285714286,1.0,15.0,8.078582305299122,5.879747322073336,3.603686254635486,0.0,0.0,0.0,0.0,242.1875,273.4375,31.25,2.769230769230769
14,29.0,273.0344827586207,258.0,287.0,219.9193833121369,209.05923344947735,232.5581395348837,6.183668046612469,5.142857142857143,0.0,11.0,7.636766137858024,6.017830648521585,3.1822922755435474,0.0,0.0,0.0,0.0,250.0,281.25,31.25,2.9
15,25.0,306.88,271.0,811.0,208.2262809898415,73.98273736128236,221.4022140221402,35.22240019312338,68.375,0.0,540.0,117.47138658697558,173.3273636792529,162.69651996492013,4.0,16.666666666666664,4.0,16.666666666666664,257.8125,281.25,23.4375,1.6666666666666667
